"","BioTempID","nRing","nHour","nrmse"
"1",1,1,1,16.0396223994562
"2",1,1,2.44970901337673,9.14290277396115
"3",1,1,8.29876689977326,4.88387514475242
"4",1,1,24,2.51839231902748
"5",2,1,1,17.1087992453594
"6",2,1,2.48897426411239,9.6313017877887
"7",2,1,9.02634175125687,5.10142049604811
"8",2,1,24,2.89648378068534
"9",3,1,1,16.1684183153456
"10",3,1,2.40679060915354,8.90671447058081
"11",3,1,8.25394063593335,4.62791592768429
"12",3,1,24,2.0246024044272
"13",4,1,1,20.9796851881594
"14",4,1,2.44130940696939,11.8104652558137
"15",4,1,8.29744165666845,6.08902991514061
"16",4,1,24,2.49448613050422
"17",1,5,1,10.4277621567572
"18",1,5,2.44552263186273,5.79856831050087
"19",1,5,8.23323650604928,2.95341987090224
"20",1,5,24,1.11700098688538
"21",2,5,1,10.3149225061228
"22",2,5,2.46940918368448,5.87388507484189
"23",2,5,8.29253054879896,3.03122513571161
"24",2,5,24,1.26400924174446
"25",3,5,1,11.5386039309467
"26",3,5,3.12743720419738,5.75565885906049
"27",3,5,8.58014419667388,3.18687073383655
"28",3,5,24,0.930273335411186
"29",4,5,1,17.5614075888827
"30",4,5,2.33146371031578,9.44662939502091
"31",4,5,7.54407782259528,4.81546141406646
"32",4,5,24,1.09918049769446
"33",1,10,1,9.63105193381762
"34",1,10,2.36291601808744,5.29990353358707
"35",1,10,7.50318242562848,2.71698890186073
"36",1,10,24,0.775025891856839
"37",2,10,1,9.23230808210333
"38",2,10,2.43138495027892,5.08975363750095
"39",2,10,8.2584733384977,2.57281636346888
"40",2,10,24,0.897720652928559
"41",3,10,1,10.7711343381149
"42",3,10,2.48470719313749,5.99374360880832
"43",3,10,8.1091361154154,2.99561960316846
"44",3,10,24,0.684915704744275
"45",4,10,1,14.0011324822798
"46",4,10,3.34952412822327,7.60951039714801
"47",4,10,8.60433964200861,4.23787961443554
"48",4,10,24,0.852886154165
